text,intent
I need to explain the professional policy.,knowledge_query
please i need in4mation about remote work.,knowledge_query
Pleaae how's it going.!!,general_chat
czn you how re yiu doing today??,general_chat
I need to what's up.,general_chat
find uh infrmation abiut budget.,web_search
would actually ya mind how re ya dokng today?,general_chat
Set up a meeting with stakeholders at 11:30am?,calendar_schedule
"Hey, i need information about leave",knowledge_query
I nred to how does time off work.,knowledge_query
Please email david regarding conference.,email_send
i need 2 search for workshop online.,web_search
I need to what's the weather like in mumbai.,web_search
can u cab u scheduke a meeting with committee flr tuesday?,calendar_schedule
Please send a message to jessica via email about project.,email_send
Can so you tell me something interesting?!!,general_chat
"Hey, draft an email to lisa about presentation",email_send
Can you schedule a meeting with managrr on friday at 10:30am?,calendar_schedule
i NEED 2 email sarah about report.,email_send
would you mind HOW r YOU?,general_chat
I need to basically llok up information abour deadline,web_search
i NEED 2 TELL me something INTERESTING.,general_chat
Please how do i update my profile.,knowledge_query
Hey set a meeting with committee on tomorrow,calendar_schedule
Can you can you send an email to sarah about meeting?...,email_send
Find information ABOUT meering!,web_search
I need to what are the guidelines for project.,knowledge_query
I need you know to look up information about meeting.,web_search
How's it going?,general_chat
Please explsin right the remote work policy.,knowledge_query
Please how basically afe you.,general_chat
Send an email to David about um conference!,email_send
I want um to find information about wofkshop...,web_search
What's happening?,general_chat
Could you please book a meeting with director at 1:00pm,calendar_schedule
Could you know you set up a meeting with stakehopders at 10am?,calendar_schedule
I want to how's your day going!!,general_chat
"Hey, can you explain professional policy",knowledge_query
"I want to plan a meeting with partners on tuesday at 1:00pm,,",calendar_schedule
"Hey, can you scheduke a meeting wuth colleagues for tomorrow",calendar_schedule
I want to plan a meeting with client on today at 1:00pm.,calendar_schedule
could YOU SEARCH fr WORKSHOP ONLINE?..,web_search
I want to how are you doing today.,general_chat
Plwase basically how are you.,general_chat
would you mind search ONKINE for SPORTS scores?,web_search
Search onoine fpr weather forecast,web_search
Hey search online you know flr flight stayus,web_search
Can you write an email to mike about conference?,email_send
Can you search online for weather forecast???,web_search
I wabt to ADD A MERTING with team to my calendar flr THIS AFTERNOON.,calendar_schedule
Compose an email to Emily concerning training.,email_send
I need to how is everything,general_chat
I want to what's happening,general_chat
"hey, i need TO email SARAH ABOUT TRAINING",email_send
"I nedd to what's nrw,",general_chat
I want to i want to search for training.,web_search
i need TU SEARCH online FOR hotel deals.,web_search
Please crrate a calendar event with stakeholders on this afternoon,calendar_schedule
would you mind find in4mation basically about budget?,web_search
Search fot training online.,web_search
"i want to schedule a meeting WITH client on monday AT 3:15pm,!!",calendar_schedule
I want to swarch flr budget!,web_search
Can you set a MEETING WITH committee on next WEEK...,calendar_schedule
Compose an email to David concerning report.,email_send
Please send a message to alex via email about presentation.,email_send
I need to what is our company's expense policy.,knowledge_query
Would you mind i need to schedule a meeting with client on next week?,calendar_schedule
Look up information about project?,web_search
can well you i need 2 schedule a meeting with manager on tuesday?,calendar_schedule
Could you look up information about report?,web_search
Whay's new!,general_chat
Would YOU MIMD BOOK A MEETING WITH COMMITTEE FOR NEXT week,calendar_schedule
"Hey, look up information about priject",web_search
Send an email to Alex about meeting?,email_send
Search ONLINE FOR SPORTS scores.,web_search
Can ypu find information about review?,web_search
Please what's the weayher like in singapore.,web_search
Wouod you mind can you find like flight status online?,web_search
"Hey, compose an email to lisa concerning review",email_send
Cah you i want to send an email to tom regarding project?,email_send
I nred to schedule a meeting with board on next week,calendar_schedule
I want to plzn a meeting with board on ftiday at 3:15pm,calendar_schedule
Can you i need information about travel?,knowledge_query
Can you tell me about company benefits?,knowledge_query
How do I report an issue!!,knowledge_query
Would YOU MIND UH explain the expense policy,knowledge_query
pls email jessica regarding report.,email_send
Please email Emuly about budgdt!,email_send
Please find me details about presentation.,web_search
would you mind HOW is everything?,general_chat
would you MIND SET a meeting WITH COLLEAGUES on today?,calendar_schedule
"Hello, like tell me something interesting",general_chat
Please what's the process for promotion.,knowledge_query
Schedule a meeting with stakeholders on Tuesday at 9:00am,calendar_schedule
Could ypu what's happening!,general_chat
send an email 2 emily about workshop?,email_send
Cah you how is evetything?,general_chat
Compose an email to Mike concerning training!,email_send
i want to what's teh weatehr like in sydney!!,web_search
"Hey, what is our company's sick policy",knowledge_query
Could ypu creatw a calendar event with group on monday!,calendar_schedule
I need to WHAT ARE the guidelines FOR training.,knowledge_query
I want to telo me something interesting.,general_chat
Can you explain travel policy?,knowledge_query
I need to email Tom about deadline?,email_send
What's up!,general_chat
"Hello, hiw dles project apprpval work",knowledge_query
"hey, find me detsils abt project",web_search
Would you mind send an email to emily about report?,email_send
could ya create a calendar event with team on friday?,calendar_schedule
"I need to schedule a meetung with partners on today at 2:30pm,,,",calendar_schedule
please search 4 training right online.,web_search
I need information about travel!,knowledge_query
could you PLEZSE EMAIL sarah abt training?,email_send
Can you schedule a meeting with colleagues on friday at 9:00am?,calendar_schedule
could you what's the WEATHEE like in DUBAI?,web_search
Wiuld ylu mind srt a meeting actually with stakeholders on thursday?,calendar_schedule
Can you what are the guidelines for training?,knowledge_query
Add a meeting with partners to my calendar for Tuesday?,calendar_schedule
"hey, how DO ya feel TUDAY..",general_chat
Would you mind how does onboarding work?,knowledge_query
find me details uh bout project!,web_search
I need information about leave?,knowledge_query
I WANT TO HOW do i update my PROFILE.,knowledge_query
"Hello, draft an email to sarah about training",email_send
"Hey, compose an email to lisa concerning budget",email_send
pls how do you feel today,general_chat
I need to add a meeting with director to my calendar for this afternoon.,calendar_schedule
"hello, can you schedule a meetibg with client fr thursday",calendar_schedule
"hey, i want to search FOR workshop",web_search
Could you tell me how time off works?,knowledge_query
Book a medting with board fot today!,calendar_schedule
Would ypu mind what is our company's remote work policy!,knowledge_query
Hpw DO you feel today!,general_chat
Plan a meeying with direvtor on Thursday at 9:00am?,calendar_schedule
"Hey, well hiw arr you",general_chat
